Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
62961332,0000002BB,false,Rx,0,5,06,FE,00,00,F2,00,00,00,
62962248,00000018F,false,Rx,0,5,2D,81,F1,FF,FF,00,00,00,
62963180,0000001A1,false,Rx,0,5,08,C1,00,00,81,00,00,00,
62965116,0000001C4,false,Rx,0,7,00,00,00,00,EF,F4,FF,00,
62966144,0000001C5,false,Rx,0,7,00,00,00,00,EF,F4,FF,00,
62967172,000000302,false,Rx,0,7,FF,FF,2D,81,FF,FF,FF,00,
62993484,00000012F,false,Rx,0,8,E1,28,86,1C,F1,01,30,09,
62996044,0000000A5,false,Rx,0,8,1C,F5,9B,B7,79,00,00,F1,
63005256,000000130,false,Rx,0,5,00,F0,FC,FF,FF,00,00,00,
63014248,0000002BF,false,Rx,0,3,00,00,00,00,00,00,00,00,
63047920,0000001A6,false,Rx,0,8,00,00,00,00,00,00,00,F3,
63049276,000000281,false,Rx,0,2,25,F3,00,00,00,00,00,00,
63056060,0000000E4,false,Rx,0,8,0C,FB,86,7F,22,FF,7F,8E,
63057144,000000199,false,Rx,0,6,2E,FB,CC,7E,20,B0,00,00,
63058128,00000019A,false,Rx,0,6,68,FB,99,7E,00,20,00,00,
63059108,00000019F,false,Rx,0,6,1C,FB,00,80,00,20,00,00,
63060280,000000289,false,Rx,0,8,27,F1,E0,E0,E1,00,0C,00,
63061368,000000297,false,Rx,0,7,9B,F7,FC,FC,FC,FC,FC,00,
63062404,0000001A1,false,Rx,0,5,FC,C6,00,00,81,00,00,00,
63063428,0000001C4,false,Rx,0,7,00,00,00,00,F9,F4,FF,00,
63064560,0000001C5,false,Rx,0,7,00,00,00,00,F9,F4,FF,00,
63065584,0000002BB,false,Rx,0,5,6E,F1,00,00,F2,00,00,00,
63093472,00000012F,false,Rx,0,8,BC,29,86,1C,F1,01,30,09,
63096048,0000000A5,false,Rx,0,8,40,FA,9B,B7,79,00,00,F1,
63105256,000000130,false,Rx,0,5,00,F0,FC,FF,FF,00,00,00,
63114600,0000002BF,false,Rx,0,3,00,00,00,00,00,00,00,00,
63147940,0000001A6,false,Rx,0,8,00,00,00,00,00,00,90,F4,
63149252,000000281,false,Rx,0,2,25,F3,00,00,00,00,00,00,
63150440,000000173,false,Rx,0,8,4F,F5,00,0E,30,00,FE,D0,
63156028,0000000E4,false,Rx,0,8,EA,F6,86,7F,22,FF,7F,8E,
63157116,000000199,false,Rx,0,6,EC,F6,D1,7E,20,B0,00,00,
63158100,00000019A,false,Rx,0,6,E7,F6,9B,7E,00,20,00,00,
63159080,00000019F,false,Rx,0,6,66,F6,0C,80,00,20,00,00,
63160228,000000289,false,Rx,0,8,9D,F3,E0,E0,E1,00,0C,00,
63161304,0000002BB,false,Rx,0,5,49,F3,00,00,F2,00,00,00,
63162228,00000018F,false,Rx,0,5,2D,81,F1,FF,FF,00,00,00,
63163156,0000001A1,false,Rx,0,5,B3,CB,00,00,81,00,00,00,
63165100,0000001C4,false,Rx,0,7,00,00,00,00,03,F5,FF,00,
63166124,0000001C5,false,Rx,0,7,00,00,00,00,03,F5,FF,00,
63167148,000000302,false,Rx,0,7,FF,FF,2D,81,FF,FF,FF,00,
63193472,00000012F,false,Rx,0,8,5B,2A,86,1C,F1,01,30,09,
63196028,0000000A5,false,Rx,0,8,28,F0,9B,B7,79,00,00,F1,
63205804,000000130,false,Rx,0,5,00,F0,FC,FF,FF,00,00,00,
63215020,0000002BF,false,Rx,0,3,00,00,00,00,00,00,00,00,
63247916,0000001A6,false,Rx,0,8,00,00,00,00,00,00,20,F6,
63249204,000000281,false,Rx,0,2,25,F3,00,00,00,00,00,00,
63256028,0000000E4,false,Rx,0,8,64,F1,86,7F,22,FF,7F,8E,
63257112,000000199,false,Rx,0,6,AA,F1,CE,7E,20,B0,00,00,
63258096,00000019A,false,Rx,0,6,56,F1,98,7E,00,20,00,00,
63259080,00000019F,false,Rx,0,6,59,F1,FB,7F,00,20,00,00,
63260232,000000289,false,Rx,0,8,4E,F5,E0,E0,E1,00,0C,00,
63261320,000000297,false,Rx,0,7,5E,F8,FC,FC,FC,FC,FC,00,
63262352,0000001A1,false,Rx,0,5,08,C1,00,00,81,00,00,00,
63263388,0000001C4,false,Rx,0,7,00,00,00,00,0D,F5,FF,00,
63264520,0000001C5,false,Rx,0,7,00,00,00,00,0D,F5,FF,00,
63265536,0000002BB,false,Rx,0,5,20,F5,00,00,F2,00,00,00,
63267880,000000510,false,Rx,0,8,00,00,00,00,FF,FF,00,10,
63280836,0000003FB,false,Rx,0,6,C7,90,01,10,F1,48,00,00,
63293476,00000012F,false,Rx,0,8,BC,2B,86,1C,F2,01,30,09,
63296040,0000000A5,false,Rx,0,8,1C,F5,9B,B7,79,00,00,F1,
63297192,0000003F9,false,Rx,0,8,1D,14,80,70,7C,44,2F,47,
63305868,000000130,false,Rx,0,5,00,F0,FC,FF,FF,00,00,00,
63315716,0000002F9,false,Rx,0,6,00,FF,00,08,FF,F0,00,00,
63316684,0000002BF,false,Rx,0,3,00,00,00,00,00,00,00,00,
63342612,0000002F7,false,Rx,0,6,02,99,51,11,11,F1,00,00,
63347884,0000001A6,false,Rx,0,8,00,00,00,00,00,00,B0,F7,
63349204,000000281,false,Rx,0,2,25,F3,00,00,00,00,00,00,
63350412,000000173,false,Rx,0,8,13,FA,00,0E,30,00,FE,D0,
63353420,0000002ED,false,Rx,0,3,70,F0,01,00,00,00,00,00,
63356056,0000000E4,false,Rx,0,8,0C,FB,86,7F,22,FF,7F,8E,
63357140,000000199,false,Rx,0,6,FE,FB,D2,7E,20,B0,00,00,
63358124,00000019A,false,Rx,0,6,D2,FB,9A,7E,00,20,00,00,
63359104,00000019F,false,Rx,0,6,52,FB,04,80,00,20,00,00,
63361104,000000289,false,Rx,0,8,F4,F7,E0,E0,E1,00,0C,00,
63362180,00000018F,false,Rx,0,5,2D,81,F1,FF,FF,00,00,00,
63363108,0000001A1,false,Rx,0,5,FC,C6,00,00,81,00,00,00,
63365048,0000001C4,false,Rx,0,7,00,00,00,00,17,F5,FF,00,
63366076,0000001C5,false,Rx,0,7,00,00,00,00,17,F5,FF,00,
63367088,0000002A6,false,Rx,0,2,00,EC,00,00,00,00,00,00,
63368868,000000302,false,Rx,0,7,FF,FF,2D,81,FF,FF,FF,00,
63369892,0000001EA,false,Rx,0,2,FF,FF,00,00,00,00,00,00,
63370656,0000003E6,false,Rx,0,2,FF,FF,00,00,00,00,00,00,
63371428,0000002BB,false,Rx,0,5,07,F7,00,00,F2,00,00,00,
63393464,00000012F,false,Rx,0,8,32,2C,86,1C,F2,01,30,09,
63394696,0000005F8,false,Rx,0,8,13,FF,C0,78,FF,FF,FF,FF,
63396084,0000000A5,false,Rx,0,8,40,FA,9B,B7,79,00,00,F1,
63405796,000000130,false,Rx,0,5,00,F0,FC,FF,FF,00,00,00,
63415832,0000002BF,false,Rx,0,3,00,00,00,00,00,00,00,00,
63447912,0000001A6,false,Rx,0,8,00,00,00,00,00,00,40,F9,
63448968,0000001B9,false,Rx,0,2,00,FF,00,00,00,00,00,00,
63449724,000000281,false,Rx,0,2,25,F3,00,00,00,00,00,00,
63450504,0000002C4,false,Rx,0,8,00,00,FF,64,64,64,00,F0,
63456024,0000000E4,false,Rx,0,8,EA,F6,86,7F,22,FF,7F,8E,
63457108,000000199,false,Rx,0,6,87,F6,C5,7E,20,B0,00,00,
63458096,00000019A,false,Rx,0,6,8E,F6,9D,7E,00,20,00,00,
63459076,00000019F,false,Rx,0,6,1D,F6,F6,7F,00,20,00,00,
63461080,000000289,false,Rx,0,8,F5,F9,E0,E0,E1,00,0C,00,
63462160,000000297,false,Rx,0,7,18,F9,FC,FC,FC,FC,FC,00,
63463196,0000001A1,false,Rx,0,5,B3,CB,00,00,81,00,00,00,
63464120,0000002BB,false,Rx,0,5,F2,F9,00,00,F2,00,00,00,
63466064,0000001C4,false,Rx,0,7,00,00,00,00,21,F5,FF,00,
63467092,0000001C5,false,Rx,0,7,00,00,00,00,21,F5,FF,00,
63493464,00000012F,false,Rx,0,8,D5,2D,86,1C,F1,01,30,09,
63496020,0000000A5,false,Rx,0,8,28,F0,9B,B7,79,00,00,F1,
63505792,000000130,false,Rx,0,5,00,F0,FC,FF,FF,00,00,00,
63516208,0000002BF,false,Rx,0,3,00,00,00,00,00,00,00,00,
63531956,0000002CA,false,Rx,0,2,66,70,00,00,00,00,00,00,
63547908,0000001A6,false,Rx,0,8,00,00,00,00,00,00,D0,FA,
63549236,000000281,false,Rx,0,2,25,F3,00,00,00,00,00,00,
63550436,000000173,false,Rx,0,8,7B,F0,00,0E,30,00,FE,D0,
63556020,0000000E4,false,Rx,0,8,64,F1,86,7F,22,FF,7F,8E,
63557104,000000199,false,Rx,0,6,A9,F1,D5,7E,20,B0,00,00,
63558092,00000019A,false,Rx,0,6,EC,F1,9B,7E,00,20,00,00,
63559072,00000019F,false,Rx,0,6,AC,F1,F5,7F,00,20,00,00,
63560204,000000289,false,Rx,0,8,4F,FB,E0,E0,E1,00,0C,00,
63561284,0000002BB,false,Rx,0,5,D5,FB,00,00,F2,00,00,00,
63562204,00000018F,false,Rx,0,5,2D,81,F1,FF,FF,00,00,00,
63563136,0000001A1,false,Rx,0,5,08,C1,00,00,81,00,00,00,
63565076,0000001C4,false,Rx,0,7,00,00,00,00,2B,F5,FF,00,
63566104,0000001C5,false,Rx,0,7,00,00,00,00,2B,F5,FF,00,
63567132,000000302,false,Rx,0,7,FF,FF,2D,81,FF,FF,FF,00,
63593468,00000012F,false,Rx,0,8,32,2E,86,1C,F1,01,30,09,
63596024,0000000A5,false,Rx,0,8,1C,F5,9B,B7,79,00,00,F1,
63605796,000000130,false,Rx,0,5,00,F0,FC,FF,FF,00,00,00,
63616612,0000002BF,false,Rx,0,3,00,00,00,00,00,00,00,00,
63647912,0000001A6,false,Rx,0,8,00,00,00,00,00,00,60,FC,
63649260,000000281,false,Rx,0,2,25,F3,00,00,00,00,00,00,
63656048,0000000E4,false,Rx,0,8,0C,FB,86,7F,22,FF,7F,8E,
63657128,000000199,false,Rx,0,6,94,FB,CF,7E,20,B0,00,00,
63658116,00000019A,false,Rx,0,6,9D,FB,97,7E,00,20,00,00,
63659096,00000019F,false,Rx,0,6,CF,FB,05,80,00,20,00,00,
63660260,000000289,false,Rx,0,8,9C,FD,E0,E0,E1,00,0C,00,
63661356,000000297,false,Rx,0,7,D2,FA,FC,FC,FC,FC,FC,00,
63662392,0000001A1,false,Rx,0,5,FC,C6,00,00,81,00,00,00,
63663408,0000001C4,false,Rx,0,7,00,00,00,00,35,F5,FF,00,
63664528,0000001C5,false,Rx,0,7,00,00,00,00,35,F5,FF,00,
63665548,0000002BB,false,Rx,0,5,BC,FD,00,00,F2,00,00,00,
63675744,000000328,false,Rx,0,6,3E,44,EF,11,0E,22,00,00,
63693460,00000012F,false,Rx,0,8,33,20,86,1C,F1,01,30,09,
63696032,0000000A5,false,Rx,0,8,40,FA,9B,B7,79,00,00,F1,
63705784,000000130,false,Rx,0,5,00,F0,FC,FF,FF,00,00,00,
63716988,0000002BF,false,Rx,0,3,00,00,00,00,00,00,00,00,
63747908,0000001A6,false,Rx,0,8,00,00,00,00,00,00,F0,FD,
63749156,000000281,false,Rx,0,2,25,F3,00,00,00,00,00,00,
63750344,000000173,false,Rx,0,8,4F,F5,00,0E,30,00,FE,D0,
63756008,0000000E4,false,Rx,0,8,EA,F6,86,7F,22,FF,7F,8E,
63757096,000000199,false,Rx,0,6,10,F6,CB,7E,1F,B0,00,00,
63758080,00000019A,false,Rx,0,6,A8,F6,96,7E,00,20,00,00,
63759060,00000019F,false,Rx,0,6,B4,F6,00,80,00,20,00,00,
63761056,000000289,false,Rx,0,8,7A,F0,E0,E0,E1,00,0C,00,
63762136,00000018F,false,Rx,0,5,2D,81,F1,FF,FF,00,00,00,
63763064,0000001A1,false,Rx,0,5,B3,CB,00,00,81,00,00,00,
63765004,0000001C4,false,Rx,0,7,00,00,00,00,3F,F5,FF,00,
63766032,0000001C5,false,Rx,0,7,00,00,00,00,3F,F5,FF,00,
63767060,000000302,false,Rx,0,7,FF,FF,2D,81,FF,FF,FF,00,
63768096,0000002BB,false,Rx,0,5,F3,F0,00,00,F2,00,00,00,
63793476,00000012F,false,Rx,0,8,D4,21,86,1C,F2,01,30,09,
63796008,0000000A5,false,Rx,0,8,28,F0,9B,B7,79,00,00,F1,
63805644,000000130,false,Rx,0,5,00,F0,FC,FF,FF,00,00,00,
63817384,0000002BF,false,Rx,0,3,00,00,00,00,00,00,00,00,
63847904,0000001A6,false,Rx,0,8,00,00,00,00,00,00,80,FF,
63849164,000000281,false,Rx,0,2,25,F3,00,00,00,00,00,00,
63856064,0000000E4,false,Rx,0,8,64,F1,86,7F,22,FF,7F,8E,
63857152,000000199,false,Rx,0,6,1B,F1,CB,7E,1F,B0,00,00,
63858136,00000019A,false,Rx,0,6,18,F1,9C,7E,00,20,00,00,
63859116,00000019F,false,Rx,0,6,17,F1,FF,7F,00,20,00,00,
63860272,000000289,false,Rx,0,8,C0,F2,E0,E0,E1,00,0C,00,
63861360,000000297,false,Rx,0,7,94,FB,FC,FC,FC,FC,FC,00,
63862396,0000001A1,false,Rx,0,5,08,C1,00,00,81,00,00,00,
63863424,0000001C4,false,Rx,0,7,00,00,00,00,49,F5,FF,00,
63864540,0000001C5,false,Rx,0,7,00,00,00,00,49,F5,FF,00,
63865564,0000002BB,false,Rx,0,5,D4,F2,00,00,F2,00,00,00,
63893444,00000012F,false,Rx,0,8,33,22,86,1C,F2,01,30,09,
63896012,0000000A5,false,Rx,0,8,1C,F5,9B,B7,79,00,00,F1,
63905636,000000130,false,Rx,0,5,00,F0,FC,FF,FF,00,00,00,
63907860,000000510,false,Rx,0,8,00,00,00,00,FF,FF,00,10,
63917740,0000002BF,false,Rx,0,3,00,00,00,00,00,00,00,00,
63947900,0000001A6,false,Rx,0,8,00,00,00,00,00,00,10,F1,
63949156,000000281,false,Rx,0,2,25,F3,00,00,00,00,00,00,
63950368,000000173,false,Rx,0,8,13,FA,00,0E,30,00,FE,D0,
63951576,0000002C4,false,Rx,0,8,00,00,FF,64,64,64,00,F0,
63956036,0000000E4,false,Rx,0,8,0C,FB,86,7F,22,FF,7F,8E,
63957120,000000199,false,Rx,0,6,4F,FB,D7,7E,1F,B0,00,00,
63958104,00000019A,false,Rx,0,6,9C,FB,9E,7E,00,20,00,00,
63959084,00000019F,false,Rx,0,6,93,FB,FD,7F,00,20,00,00,
63960260,000000289,false,Rx,0,8,13,F4,E0,E0,E1,00,0C,00,
63961336,0000002BB,false,Rx,0,5,BD,F4,00,00,F2,00,00,00,
63962260,00000018F,false,Rx,0,5,2D,81,F1,FF,FF,00,00,00,
63963188,0000001A1,false,Rx,0,5,FC,C6,00,00,81,00,00,00,
63964140,0000001C4,false,Rx,0,7,00,00,00,00,53,F5,FF,00,
63965256,0000001C5,false,Rx,0,7,00,00,00,00,53,F5,FF,00,
63966400,000000302,false,Rx,0,7,FF,FF,2D,81,FF,FF,FF,00,
63993412,00000012F,false,Rx,0,8,D4,23,86,1C,F1,01,30,09,
63996020,0000000A5,false,Rx,0,8,40,FA,9B,B7,79,00,00,F1,
64005232,000000130,false,Rx,0,5,00,F0,FC,FF,FF,00,00,00,
64018228,0000002BF,false,Rx,0,3,00,00,00,00,00,00,00,00,
64047888,0000001A6,false,Rx,0,8,00,00,00,00,00,00,A0,F2,
64048948,000000281,false,Rx,0,2,25,F3,00,00,00,00,00,00,
64056052,0000000E4,false,Rx,0,8,EA,F6,86,7F,22,FF,7F,8E,
64057140,000000199,false,Rx,0,6,37,F6,C9,7E,1F,B0,00,00,
64058124,00000019A,false,Rx,0,6,12,F6,95,7E,00,20,00,00,
64059104,00000019F,false,Rx,0,6,A7,F6,F5,7F,00,20,00,00,
64060268,000000289,false,Rx,0,8,A9,F6,E0,E0,E1,00,0C,00,
64061356,000000297,false,Rx,0,7,5B,FC,FC,FC,FC,FC,FC,00,
64062388,0000001A1,false,Rx,0,5,B3,CB,00,00,81,00,00,00,
64063384,0000001C4,false,Rx,0,7,00,00,00,00,5D,F5,FF,00,
64064508,0000001C5,false,Rx,0,7,00,00,00,00,5D,F5,FF,00,
64065528,0000002BB,false,Rx,0,5,9A,F6,00,00,F2,00,00,00,
64093408,00000012F,false,Rx,0,8,5A,24,86,1C,F1,01,30,09,
64095996,0000000A5,false,Rx,0,8,28,F0,9B,B7,79,00,00,F1,
64105192,000000130,false,Rx,0,5,00,F0,FC,FF,FF,00,00,00,
64118612,0000002BF,false,Rx,0,3,00,00,00,00,00,00,00,00,
64147852,0000001A6,false,Rx,0,8,00,00,00,00,00,00,30,F4,
64149192,000000281,false,Rx,0,2,25,F3,00,00,00,00,00,00,
64150392,000000173,false,Rx,0,8,7B,F0,00,0E,30,00,FE,D0,
64155996,0000000E4,false,Rx,0,8,64,F1,86,7F,22,FF,7F,8E,
64157084,000000199,false,Rx,0,6,3F,F1,D2,7E,1F,B0,00,00,
64158068,00000019A,false,Rx,0,6,56,F1,98,7E,00,20,00,00,
64159052,00000019F,false,Rx,0,6,4B,F1,07,80,00,20,00,00,
64160236,000000289,false,Rx,0,8,A8,F8,E0,E0,E1,00,0C,00,
64161312,0000002BB,false,Rx,0,5,6F,F8,00,00,F2,00,00,00,
64162232,00000018F,false,Rx,0,5,2D,81,F1,FF,FF,00,00,00,
64163164,0000001A1,false,Rx,0,5,08,C1,00,00,81,00,00,00,
64164108,0000001C4,false,Rx,0,7,00,00,00,00,67,F5,FF,00,
64165228,0000001C5,false,Rx,0,7,00,00,00,00,67,F5,FF,00,
64166380,000000302,false,Rx,0,7,FF,FF,2D,81,FF,FF,FF,00,
64191452,0000005F2,false,Rx,0,8,08,04,00,02,FF,FF,FF,FF,
64193424,00000012F,false,Rx,0,8,07,25,86,1C,F1,01,30,09,
64196000,0000000A5,false,Rx,0,8,1C,F5,9B,B7,79,00,00,F1,
64205524,00000026E,false,Rx,0,8,00,00,00,00,FF,FF,FF,FF,
64206596,000000130,false,Rx,0,5,00,F0,FC,FF,FF,00,00,00,
64218972,0000002BF,false,Rx,0,3,00,00,00,00,00,00,00,00,
64247888,0000001A6,false,Rx,0,8,00,00,00,00,00,00,C0,F5,
64249236,000000281,false,Rx,0,2,25,F3,00,00,00,00,00,00,
64255812,000000297,false,Rx,0,7,1D,FD,FC,FC,FC,FC,FC,00,
64257004,0000000E4,false,Rx,0,8,0C,FB,86,7F,22,FF,7F,8E,
64258092,000000199,false,Rx,0,6,BB,FB,D0,7E,1F,B0,00,00,
64259076,00000019A,false,Rx,0,6,68,FB,99,7E,00,20,00,00,
64260052,00000019F,false,Rx,0,6,CF,FB,05,80,00,20,00,00,
64262052,000000289,false,Rx,0,8,12,FA,E0,E0,E1,00,0C,00,
64263128,0000001A1,false,Rx,0,5,FC,C6,00,00,81,00,00,00,
64264052,0000002BB,false,Rx,0,5,48,FA,00,00,F2,00,00,00,
64265992,0000001C4,false,Rx,0,7,00,00,00,00,71,F5,FF,00,
64267020,0000001C5,false,Rx,0,7,00,00,00,00,71,F5,FF,00,
64279744,0000003FB,false,Rx,0,6,C7,90,01,10,F1,48,00,00,
64293420,00000012F,false,Rx,0,8,E0,26,86,1C,F1,01,30,09,
64296036,0000000A5,false,Rx,0,8,40,FA,9B,B7,79,00,00,F1,
64297420,0000003F9,false,Rx,0,8,40,15,80,70,7C,44,2F,47,
64305188,000000130,false,Rx,0,5,00,F0,FC,FF,FF,00,00,00,
64319628,0000002F9,false,Rx,0,6,00,FF,00,08,FF,F0,00,00,
64320592,0000002BF,false,Rx,0,3,00,00,00,00,00,00,00,00,
64342160,0000002F7,false,Rx,0,6,02,99,51,11,11,F1,00,00,
64347888,0000001A6,false,Rx,0,8,00,00,00,00,00,00,50,F7,
